phenotype	NR	R	R	NR	R	R	R	R	NR	R	R	R	R	NR	R	NR	NR	R	NR	R	R	R	R	R	R	NR	R	R	R	NR	R	R	R	R	NR	R	R	R	R	NR
subject_id	Wargo.109865	Wargo.115690	Wargo.117349	Wargo.118369	Wargo.118370	Wargo.120662	Wargo.121296	Wargo.121409	Wargo.121891	Wargo.121892	Wargo.122114	Wargo.122410	Wargo.122412	Wargo.122637	Wargo.122639	Wargo.122724	Wargo.123009	Wargo.123197	Wargo.123305	Wargo.123704	Wargo.123986	Wargo.124418	Wargo.124419	Wargo.124421	Wargo.126747	Wargo.126802	Wargo.127261	Wargo.127262	Wargo.130510	Wargo.130511	Wargo.130801	Wargo.131051	Wargo.131300	Wargo.131302	Wargo.131512	Wargo.131541	Wargo.132265	Wargo.132266	Wargo.132268	Wargo.132538
Bacteria	14649	11419	61151	83302	58503	57252	60331	73177	29254	33688	26828	20625	34564	31538	29480	23754	29456	36699	25175	37345	40240	28178	43126	47950	66877	47720	49916	55542	58362	36376	48223	59417	59172	50157	65678	63517	52042	29016	59337	80264
Archaea	0	4	70	0	0	0	0	0	0	110	0	3	0	0	0	0	0	0	12	0	376	11	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	3	0	0
Eukaryota	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes	12906	4022	22310	65369	30087	29947	38287	37746	19419	14384	21246	7276	23687	20960	4859	17341	17058	25836	19177	927	14341	12817	37480	35627	24530	35682	27661	25337	28408	26087	10238	40099	43465	19	36763	32132	35003	4119	34610	71626
Bacteria|Proteobacteria	264	139	4571	2859	1005	2209	6267	9386	902	610	1182	320	1860	1130	4047	836	3912	1503	628	785	1509	596	1938	1235	6018	1695	5970	15066	15511	2170	1047	4318	521	2657	1221	1917	2469	335	1828	2576
Bacteria|Firmicutes	1477	6086	33227	14944	26840	23431	13361	25951	8920	18327	4291	12987	7549	8799	20569	5500	6897	9327	4550	35255	21925	14080	1631	11080	34120	10283	14668	14219	13344	7691	28831	14945	15089	47245	24423	28754	12098	23722	22825	5847
Bacteria|Verrucomicrobia	0	656	168	7	86	1429	153	22	0	174	0	3	1466	0	0	0	1569	0	699	0	726	103	5	4	1462	2	124	75	0	419	7501	0	0	2	3200	310	0	0	0	210
Bacteria|Actinobacteria	2	14	26	74	462	18	2252	62	11	138	18	24	2	455	2	67	13	14	119	37	1723	534	7	0	732	52	38	7	108	0	606	4	93	70	37	206	100	55	11	5
Bacteria|Cyanobacteria	0	0	742	0	20	148	2	0	0	0	63	2	0	2	0	0	5	15	0	10	0	0	3	2	11	0	1444	0	0	0	0	49	0	74	3	5	2357	226	63	0
Bacteria|Fusobacteria	0	0	0	35	0	6	0	8	0	0	28	10	0	0	0	4	0	4	0	233	16	16	2062	0	0	0	0	0	989	0	0	2	2	68	0	5	4	0	0	0
Bacteria|Tenericutes	0	502	51	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	2	0	0	0	763	0	0	0	0	0	0	0	0	0	549	0	0
Archaea|Euryarchaeota	0	4	70	0	0	0	0	0	0	110	0	3	0	0	0	0	0	0	12	0	376	11	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	3	0	0
Bacteria|Epsilonbacteraeota	0	0	0	8	0	0	3	0	0	0	0	0	0	192	0	2	0	0	0	98	0	0	0	0	0	0	0	65	2	0	0	0	2	22	0	0	0	0	0	0
Bacteria|Lentisphaerae	0	0	42	6	0	64	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	182	0	5	0	0
Bacteria|Synergistetes	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria|Deferribacteres	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota|Incertae_Sedis	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia	12906	4022	22307	65369	30087	29947	38287	37746	19419	14379	21246	7276	23687	20960	4859	17341	17058	25836	19175	927	14341	12817	37480	35627	24530	35682	27661	25335	28408	26087	10238	40099	43465	19	36763	32132	35000	4119	34610	71626
Bacteria|Proteobacteria|Gammaproteobacteria	264	69	1353	2455	548	1786	6260	9374	688	551	1182	240	1557	922	4047	594	3860	1499	250	785	1438	172	1933	1215	3855	1230	2639	14856	2590	2085	1047	3824	59	2637	631	1765	2038	127	1394	2576
Bacteria|Firmicutes|Clostridia	1364	5463	32744	14544	25837	22667	12635	25010	7419	17361	4187	12507	6870	7869	17997	5193	5485	9059	4194	33625	20898	13655	981	10733	30952	9235	14031	12749	12158	6862	18639	12987	14563	44769	23488	27881	11037	23540	21892	4430
Bacteria|Proteobacteria|Alphaproteobacteria	0	0	2716	0	4	0	2	2	0	0	0	0	63	0	0	0	0	4	0	0	0	0	5	0	1827	0	2161	0	12609	0	0	494	0	20	0	0	0	102	15	0
Bacteria|Firmicutes|Negativicutes	113	228	402	174	605	506	470	745	1457	252	19	386	573	627	1123	198	1087	0	341	643	234	370	500	312	1228	1006	573	138	1073	759	9663	1395	444	2028	327	556	608	93	583	1098
Bacteria|Verrucomicrobia|Verrucomicrobiae	0	656	168	7	86	1429	153	22	0	174	0	3	1466	0	0	0	1569	0	699	0	726	103	5	4	1462	2	124	75	0	419	7501	0	0	2	3200	310	0	0	0	210
Bacteria|Proteobacteria|Deltaproteobacteria	0	70	502	404	453	423	5	10	214	59	0	80	240	208	0	242	52	0	378	0	71	424	0	20	336	465	1170	210	312	85	0	0	462	0	590	152	431	106	419	0
Bacteria|Actinobacteria|Coriobacteriia	0	0	3	29	454	18	136	0	9	59	18	15	2	49	0	12	10	4	56	16	1579	46	0	0	545	39	31	7	38	0	596	2	28	5	31	47	2	14	7	0
Bacteria|Actinobacteria|Actinobacteria	2	14	23	45	8	0	2116	62	2	79	0	7	0	406	2	55	3	10	63	21	144	488	7	0	187	13	7	0	70	0	10	2	65	65	6	159	98	41	4	5
Bacteria|Cyanobacteria|Melainabacteria	0	0	740	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1444	0	0	0	0	0	0	0	0	0	2357	226	0	0
Bacteria|Firmicutes|Bacilli	0	144	11	74	58	18	81	58	6	591	69	2	17	143	1019	43	302	30	9	75	775	13	143	19	1627	14	0	1283	0	3	319	296	29	41	95	61	15	17	41	309
Bacteria|Fusobacteria|Fusobacteriia	0	0	0	35	0	6	0	8	0	0	28	10	0	0	0	4	0	4	0	233	16	16	2062	0	0	0	0	0	989	0	0	2	2	68	0	5	4	0	0	0
Bacteria|Firmicutes|Erysipelotrichia	0	240	67	149	340	205	175	138	38	121	16	92	89	160	430	66	21	238	6	912	18	30	7	16	313	26	64	47	113	67	210	267	53	407	493	252	435	65	309	7
Bacteria|Tenericutes|Mollicutes	0	502	51	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	2	0	0	0	763	0	0	0	0	0	0	0	0	0	549	0	0
Archaea|Euryarchaeota|Methanobacteria	0	0	18	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	12	0	376	11	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0
Bacteria|Epsilonbacteraeota|Campylobacteria	0	0	0	8	0	0	3	0	0	0	0	0	0	192	0	2	0	0	0	98	0	0	0	0	0	0	0	65	2	0	0	0	2	22	0	0	0	0	0	0
Bacteria|Cyanobacteria|Oxyphotobacteria	0	0	2	0	20	0	2	0	0	0	63	2	0	2	0	0	5	15	0	10	0	0	3	2	11	0	0	0	0	0	0	49	0	74	3	5	0	0	63	0
Bacteria|Lentisphaerae|Lentisphaeria	0	0	42	6	0	64	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	182	0	5	0	0
Archaea|Euryarchaeota|Thermoplasmata	0	4	52	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Synergistetes|Synergistia	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria|Deferribacteres|Deferribacteres	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota|Incertae_Sedis|Incertae_Sedis_cl	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Thermoleophilia	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	12906	4022	22211	65364	30085	29900	38285	37746	19419	14377	21246	7276	23684	20960	4859	17341	17058	25836	19175	927	14341	12806	37480	35623	24528	35680	27656	25335	28408	26087	10238	40099	43465	19	36761	32129	35000	4119	34608	71626
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales	33	0	574	685	539	205	6229	411	44	25	7	159	11	912	4047	575	2619	290	17	735	1353	148	500	1169	2356	0	22	14550	9	13	1035	3321	0	2003	16	7	0	3	70	1584
Bacteria|Firmicutes|Clostridia|Clostridiales	1364	5382	32736	14544	25827	22659	12635	25010	7410	17361	4187	12488	6868	7869	17997	5193	5485	9059	4194	33625	20898	13639	981	10733	30897	9231	14022	12636	12158	6862	18639	12987	14561	44769	23461	27879	11034	23538	21892	4430
Bacteria|Proteobacteria|Gammaproteobacteria|Betaproteobacteriales	231	65	773	1628	0	1576	9	8940	642	522	1175	81	1535	0	0	0	1231	1209	233	0	85	8	1429	46	1497	1228	2608	95	2565	2069	0	490	5	0	592	1675	2029	115	1148	590
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales	0	0	2714	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	2	0	1825	0	2161	0	12609	0	0	492	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Negativicutes|Selenomonadales	113	228	402	174	605	506	470	745	1457	252	19	386	573	627	1123	198	1087	0	341	643	234	370	500	312	1228	1006	573	138	1073	759	9663	1395	444	2028	327	556	608	93	583	1098
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales	0	656	168	7	48	1429	153	22	0	166	0	3	1466	0	0	0	1569	0	699	0	726	103	5	4	1462	2	124	75	0	419	7501	0	0	2	3200	310	0	0	0	210
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	0	70	502	404	453	423	5	10	214	59	0	80	240	208	0	242	52	0	378	0	71	424	0	20	336	465	1170	210	312	85	0	0	462	0	590	152	431	106	419	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales	0	0	3	29	454	18	136	0	9	59	18	15	2	49	0	12	10	4	56	16	1579	46	0	0	545	39	31	7	38	0	596	2	28	5	31	47	2	14	7	0
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales	2	14	16	39	0	0	2104	56	0	79	0	4	0	396	0	55	3	10	63	15	49	488	7	0	187	13	7	0	70	0	0	0	65	54	0	156	98	41	0	0
Bacteria|Cyanobacteria|Melainabacteria|Gastranaerophilales	0	0	740	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1444	0	0	0	0	0	0	0	0	0	2357	226	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales	0	144	8	74	50	16	77	56	6	591	69	2	17	140	1019	43	302	30	9	75	754	13	143	19	1579	9	0	1283	0	0	312	292	22	34	95	55	10	15	37	304
